wl,n,k
8.58,1.132824,0.6092508
8.6,1.134762,0.6214347
8.62,1.136942,0.6335618
8.64,1.139358,0.6456255
8.66,1.142006,0.6576191
8.68,1.144881,0.6695368
8.7,1.147978,0.6813728
8.72,1.15129,0.6931218
8.74,1.154814,0.704779
8.76,1.158544,0.7163398
8.78,1.162473,0.7278
8.8,1.166598,0.7391557
8.82,1.170912,0.7504032
8.84,1.17541,0.7615393
8.86,1.180087,0.7725611
8.88,1.184938,0.7834657
8.9,1.189957,0.7942507
8.92,1.195139,0.8049138
8.94,1.200479,0.815453
8.96,1.205973,0.8258664
8.98,1.211615,0.8361525
9.0,1.217401,0.8463097
9.02,1.223326,0.8563367
9.04,1.229386,0.8662325
9.06,1.235575,0.8759961
9.08,1.24189,0.8856266
9.1,1.248327,0.8951232
9.12,1.254881,0.9044855
9.14,1.261548,0.9137128
9.16,1.268324,0.9228048
9.18,1.275205,0.9317612
9.2,1.282188,0.9405817
9.22,1.289269,0.9492663
9.24,1.296445,0.9578148
9.26,1.303711,0.9662273
9.28,1.311064,0.9745039
9.3,1.318502,0.9826446
9.32,1.32602,0.9906497
9.34,1.333616,0.9985193
9.36,1.341287,1.006254
9.38,1.349028,1.013854
9.4,1.356839,1.021319
9.42,1.364715,1.02865
9.44,1.372653,1.035848
9.46,1.380652,1.042913
9.48,1.388708,1.049845
9.5,1.396819,1.056645
9.52,1.404981,1.063313
9.54,1.413194,1.069851
9.56,1.421453,1.076258
9.58,1.429758,1.082536
9.6,1.438104,1.088685
9.62,1.446491,1.094705
9.64,1.454915,1.100598
9.66,1.463375,1.106364
9.68,1.471869,1.112005
9.7,1.480394,1.117519
9.72,1.488948,1.122909
9.74,1.497529,1.128175
9.76,1.506136,1.133319
9.78,1.514765,1.13834
9.8,1.523417,1.143239
9.82,1.532088,1.148019
9.84,1.540776,1.152678
9.86,1.549481,1.157219
9.88,1.5582,1.161641
9.9,1.566931,1.165947
9.92,1.575674,1.170136
9.94,1.584425,1.174211
9.96,1.593184,1.17817
9.98,1.60195,1.182017
10.0,1.610719,1.18575
10.02,1.619492,1.189372
10.04,1.628266,1.192883
10.06,1.637041,1.196285
10.08,1.645814,1.199578
10.1,1.654584,1.202763
10.12,1.66335,1.205841
10.14,1.672112,1.208813
10.16,1.680866,1.21168
10.18,1.689612,1.214443
10.2,1.69835,1.217102
10.22,1.707077,1.21966
10.24,1.715793,1.222117
10.26,1.724496,1.224473
10.28,1.733185,1.226731
10.3,1.741859,1.22889
10.32,1.750517,1.230952
10.34,1.759159,1.232918
10.36,1.767782,1.234789
10.38,1.776386,1.236565
10.4,1.784971,1.238248
10.42,1.793534,1.239839
10.44,1.802075,1.241339
10.46,1.810594,1.242749
10.48,1.819089,1.244069
10.5,1.82756,1.245301
10.52,1.836005,1.246445
10.54,1.844423,1.247504
10.56,1.852815,1.248477
10.58,1.86118,1.249365
10.6,1.869515,1.250171
10.62,1.877822,1.250894
10.64,1.886098,1.251535
10.66,1.894344,1.252097
10.68,1.902558,1.252578
10.7,1.910741,1.252982
10.72,1.918891,1.253308
10.74,1.927007,1.253557
10.76,1.93509,1.253731
10.78,1.943138,1.25383
10.8,1.951152,1.253855
