wl,n,k
4.1,2.511646,0.0001703014
4.12,2.510792,0.0001732659
4.14,2.509932,0.0001762725
4.16,2.509065,0.0001793217
4.18,2.508192,0.0001824141
4.2,2.507312,0.0001855502
4.22,2.506425,0.0001887306
4.24,2.505532,0.0001919558
4.26,2.504632,0.0001952265
4.28,2.503725,0.0001985431
4.3,2.502811,0.0002019064
4.32,2.501891,0.0002053168
4.34,2.500964,0.0002087751
4.36,2.500029,0.0002122817
4.38,2.499088,0.0002158375
4.4,2.49814,0.0002194429
4.42,2.497184,0.0002230987
4.44,2.496222,0.0002268054
4.46,2.495252,0.0002305638
4.48,2.494275,0.0002343746
4.5,2.493291,0.0002382384
4.52,2.492299,0.0002421559
4.54,2.4913,0.0002461278
4.56,2.490294,0.0002501548
4.58,2.48928,0.0002542377
4.6,2.488258,0.0002583772
4.62,2.487229,0.0002625741
4.64,2.486192,0.0002668291
4.66,2.485147,0.000271143
4.68,2.484095,0.0002755165
4.7,2.483035,0.0002799505
4.72,2.481966,0.0002844458
4.74,2.48089,0.0002890032
4.76,2.479806,0.0002936235
4.78,2.478714,0.0002983076
4.8,2.477613,0.0003030563
4.82,2.476504,0.0003078705
4.84,2.475388,0.0003127512
4.86,2.474262,0.0003176991
4.88,2.473129,0.0003227152
4.9,2.471986,0.0003278005
4.92,2.470836,0.0003329558
4.94,2.469676,0.0003381822
4.96,2.468508,0.0003434806
4.98,2.467331,0.000348852
5.0,2.466146,0.0003542974
5.02,2.464951,0.0003598178
5.04,2.463748,0.0003654143
5.06,2.462535,0.0003710879
5.08,2.461313,0.0003768397
5.1,2.460082,0.0003826708
5.12,2.458842,0.0003885823
5.14,2.457593,0.0003945753
5.16,2.456334,0.0004006509
5.18,2.455066,0.0004068104
5.2,2.453788,0.0004130548
5.22,2.4525,0.0004193855
5.24,2.451203,0.0004258035
5.26,2.449896,0.0004323102
5.28,2.448578,0.0004389069
5.3,2.447251,0.0004455947
5.32,2.445914,0.000452375
5.34,2.444567,0.0004592492
5.36,2.443209,0.0004662186
5.38,2.441842,0.0004732845
5.4,2.440463,0.0004804483
5.42,2.439074,0.0004877115
5.44,2.437675,0.0004950755
