740,-3.80826
741,-3.83940
742,-3.87027
743,-3.90096
744,-3.93160
745,-3.96230
746,-3.99314
747,-4.02408
748,-4.05506
749,-4.08602
750,-4.11687
751,-4.14758
752,-4.17814
753,-4.20856
754,-4.23884
755,-4.26902
756,-4.29908
757,-4.32907
758,-4.35902
759,-4.38895
760,-4.41889
761,-4.44886
762,-4.47883
763,-4.50873
764,-4.53851
765,-4.56813
766,-4.59754
767,-4.62682
768,-4.65603
769,-4.68526
770,-4.71459
771,-4.74408
772,-4.77364
773,-4.80317
774,-4.83256
775,-4.86171
776,-4.89055
777,-4.91912
778,-4.94751
779,-4.97580
780,-5.00407
781,-5.03240
782,-5.06076
783,-5.08912
784,-5.11746
785,-5.14573
786,-5.17393
787,-5.20206
788,-5.23013
789,-5.25817
790,-5.28620
791,-5.31423
792,-5.34223
793,-5.37019
794,-5.39806
795,-5.42582
796,-5.45346
797,-5.48096
798,-5.50833
799,-5.53557
800,-5.56269
801,-5.58969
802,-5.61663
803,-5.64354
804,-5.67047
805,-5.69747
806,-5.72457
807,-5.75174
808,-5.77892
809,-5.80606
810,-5.83312
811,-5.86004
812,-5.88681
813,-5.91343
814,-5.93991
815,-5.96623
816,-5.99239
817,-6.01844
818,-6.04440
819,-6.07032
820,-6.09624
821,-6.12217
822,-6.14812
823,-6.17407
824,-6.19999
825,-6.22588
826,-6.25172
827,-6.27748
828,-6.30316
829,-6.32873
830,-6.35418
